Descritpion_ID,Top_20_Image_IDs
0.txt,1131.jpg 359.jpg 36.jpg 942.jpg 1883.jpg 231.jpg 1743.jpg 292.jpg 760.jpg 594.jpg 1480.jpg 255.jpg 1231.jpg 1258.jpg 1862.jpg 140.jpg 1311.jpg 50.jpg 1228.jpg 1135.jpg
1.txt,833.jpg 1341.jpg 1714.jpg 1907.jpg 589.jpg 1199.jpg 1807.jpg 1071.jpg 457.jpg 1929.jpg 562.jpg 247.jpg 956.jpg 238.jpg 1156.jpg 1812.jpg 1075.jpg 758.jpg 225.jpg 6.jpg
2.txt,445.jpg 598.jpg 953.jpg 1724.jpg 838.jpg 42.jpg 43.jpg 1713.jpg 97.jpg 934.jpg 184.jpg 980.jpg 228.jpg 1107.jpg 229.jpg 1292.jpg 254.jpg 1840.jpg 784.jpg 272.jpg
3.txt,1514.jpg 654.jpg 799.jpg 1922.jpg 75.jpg 469.jpg 1513.jpg 1035.jpg 836.jpg 397.jpg 1609.jpg 1778.jpg 1418.jpg 960.jpg 1486.jpg 1769.jpg 770.jpg 800.jpg 1097.jpg 1865.jpg
4.txt,292.jpg 1131.jpg 255.jpg 1231.jpg 760.jpg 36.jpg 312.jpg 484.jpg 359.jpg 949.jpg 1862.jpg 942.jpg 231.jpg 1821.jpg 1135.jpg 881.jpg 1743.jpg 140.jpg 50.jpg 1439.jpg
5.txt,1700.jpg 554.jpg 771.jpg 51.jpg 1693.jpg 846.jpg 814.jpg 492.jpg 1943.jpg 330.jpg 274.jpg 46.jpg 703.jpg 334.jpg 426.jpg 1837.jpg 1913.jpg 1888.jpg 354.jpg 1923.jpg
6.txt,655.jpg 402.jpg 1265.jpg 33.jpg 1625.jpg 1790.jpg 1815.jpg 156.jpg 217.jpg 358.jpg 259.jpg 1151.jpg 1607.jpg 1216.jpg 1444.jpg 908.jpg 1768.jpg 1933.jpg 414.jpg 1874.jpg
7.txt,975.jpg 1949.jpg 689.jpg 409.jpg 448.jpg 136.jpg 1488.jpg 987.jpg 1694.jpg 481.jpg 168.jpg 1961.jpg 685.jpg 1085.jpg 528.jpg 1328.jpg 1285.jpg 1857.jpg 627.jpg 1249.jpg
8.txt,419.jpg 245.jpg 719.jpg 266.jpg 103.jpg 1346.jpg 134.jpg 1467.jpg 1397.jpg 923.jpg 1962.jpg 1622.jpg 1814.jpg 823.jpg 1557.jpg 511.jpg 1067.jpg 1556.jpg 928.jpg 1948.jpg
9.txt,554.jpg 274.jpg 940.jpg 1693.jpg 771.jpg 846.jpg 1118.jpg 46.jpg 51.jpg 492.jpg 1402.jpg 1045.jpg 330.jpg 334.jpg 1335.jpg 1700.jpg 354.jpg 845.jpg 1594.jpg 379.jpg
10.txt,1366.jpg 649.jpg 1724.jpg 1866.jpg 720.jpg 1208.jpg 184.jpg 1713.jpg 1033.jpg 1107.jpg 445.jpg 159.jpg 1840.jpg 1665.jpg 1124.jpg 634.jpg 1955.jpg 1512.jpg 953.jpg 1030.jpg
11.txt,1693.jpg 554.jpg 1943.jpg 771.jpg 334.jpg 814.jpg 846.jpg 51.jpg 46.jpg 274.jpg 1355.jpg 330.jpg 1968.jpg 1888.jpg 354.jpg 492.jpg 321.jpg 379.jpg 1045.jpg 526.jpg
